,x,y
0,13.8651535307,10.8585895367
1,14.2242376097,10.5688697273
2,10.7114521215,14.0602253472
3,10.9398779546,13.7374528867
4,12.8919548073,9.1765920923
5,10.3841275603,5.91010675127
6,12.9153386745,9.84227564244
7,10.3215126437,2.97428238062
8,9.85110186279,12.8106050259
9,11.2835899912,12.6546955975
10,10.9501251315,12.8720357012
11,11.2157842077,5.57696594167
12,10.0124897041,12.8120889684
13,10.4578844816,3.32362867564
14,13.1128863162,7.07580846189
15,10.2372963639,10.2910446633
16,14.841352543,10.7646221783
17,12.1773210356,5.88236467117
18,14.3633225512,7.34619425078
19,9.94995897866,13.0011680577
20,10.1754042717,11.1133347898
21,12.127565569,4.94044495972
22,11.6577209833,5.28033348614
23,9.04076266853,10.3980832636
24,7.44632575039,10.248641426
25,10.6703206384,5.08725577819
26,-6.09046290903,17.9016740506
27,10.5310510711,9.75882843307
28,10.1194269648,2.63091909189
29,11.037303505,4.66208758003
30,-20.1185378941,3.87203767434
31,12.2302954635,6.24032297063
32,11.8652043363,8.55559702409
33,9.75913113285,8.81814375062
34,13.0031653923,11.0716241464
35,9.24306120253,11.9647563083
36,10.53407462,10.6440991891
37,12.2052128172,10.1847000051
38,13.5658386771,11.5149877158
39,13.3554157763,11.4757975281
40,10.3417704396,5.88846332535
41,12.9238461866,6.71088615792
42,10.191944092,5.76142346525
43,9.20221869418,13.1238247918
44,15.1329719445,9.36535504407
45,11.6123768342,6.39568319058
46,13.0219786012,7.00821362207
47,10.6800998953,4.19653214047
48,15.6347412706,9.81993929511
49,14.7620997771,7.45855485591
50,15.9516027268,10.7177617516
51,12.0852153616,5.66553327795
52,11.4731568709,5.22494149947
53,-17.9979465289,11.7481485593
54,10.2136286566,13.6909433484
55,15.659220746,10.3037867851
56,7.46014560243,10.185143081
57,10.0422177676,4.31622886681
58,15.7826039202,13.4015272418
59,7.4312611412,8.55778078381
60,15.438413926,13.1136275031
61,12.4608073532,11.1377589497
62,10.5761331671,13.7791460553
63,9.70189176584,10.6801302849
64,8.15012764216,13.0888281951
65,-18.0523705557,11.6974637877
66,7.79096163326,9.18171732125
67,12.6658505059,11.3323303441
68,14.8984683429,12.6164854606
69,9.70019177343,8.89940788993
70,14.4783333228,10.3835216485
71,14.7709668048,14.8686534944
72,14.9899247129,9.55172687567
73,15.1843644005,10.9525072467
74,16.0072787935,12.6293270613
75,9.59685319429,14.1497121088
76,15.2088368661,10.8593357535
77,14.8300172595,10.0605764567
78,13.3222118539,5.52897668182
79,10.8650321796,10.5836260887
80,16.3360771029,11.9578302134
81,14.4017269821,12.8101932331
82,15.3422920367,12.1312683174
83,13.2048702478,11.1129215374
84,14.5638894758,13.7740156319
85,8.63451002443,5.22367422865
86,17.3485498701,12.4891843603
87,17.3165687045,12.6068872801
88,14.4513170102,12.903146444
89,-14.919725192,15.7468462346
90,15.3552216831,12.0600781852
91,8.29221759181,11.6382190655
92,14.647391036,14.1286064937
93,16.1190359643,13.6412794245
94,14.9233949906,14.004757038
95,10.052873976,4.63200647835
96,16.8598348595,12.7131896605
97,8.17332541793,11.580167238
98,16.4261079934,13.9147247209
99,9.83045030113,9.24822302774
100,-7.41098504921,-5.01206414094
101,-11.8372624579,8.53702233753
102,-11.0186251695,6.8056202143
103,-10.7035918017,7.31384506603
104,-7.56621811106,-5.18237231108
105,-16.9819031127,6.31741228359
106,-9.9238260831,4.49317684392
107,-7.96047084538,-3.6804851023
108,-8.41370553724,0.93714707273
109,-12.0813058273,6.27410794729
110,-9.79766247941,6.20294921226
111,-7.80014879315,-1.68566790323
112,-5.9351221847,-2.50861038075
113,-6.90974814629,-2.24566978643
114,-10.5393782055,6.7149367404
115,-10.8832972549,8.73250001689
